influencer_id,followers,engagement_rate,niche,campaign_category,campaign_goal,budget_range,match_score,engagement_result
INF035,59872,3.41,tech,fitness,conversion,high,0.21,3.65
INF069,21066,5.85,food,tech,conversion,medium,0.47,6.61
INF135,63512,5.63,lifestyle,tech,conversion,high,0.27,6.16
INF027,77217,3.11,tech,beauty,awareness,low,0.27,3.61
INF055,10037,3.24,beauty,fitness,conversion,low,0.54,4.4
INF056,96095,5.48,tech,tech,conversion,high,0.99,7.41
INF067,58707,2.01,food,lifestyle,awareness,medium,0.22,2.65
INF069,21066,5.85,food,tech,conversion,medium,0.48,6.79
INF049,9866,3.96,lifestyle,fitness,conversion,low,0.45,4.67
INF090,28867,3.43,fitness,lifestyle,conversion,high,0.34,4.15
INF009,71973,5.84,beauty,beauty,conversion,medium,0.76,7.52
INF071,62513,5.11,lifestyle,tech,conversion,high,0.54,6.24
INF125,65300,5.38,beauty,fitness,conversion,low,0.21,5.98
INF129,7037,3.68,beauty,food,awareness,high,0.42,4.44
INF041,65778,5.42,beauty,tech,conversion,low,0.28,5.79
INF036,41791,2.78,beauty,lifestyle,conversion,medium,0.23,3.32
INF131,33067,4.72,beauty,lifestyle,conversion,medium,0.42,5.62
INF027,77217,3.11,tech,food,awareness,medium,0.27,3.52
INF076,28342,2.03,lifestyle,tech,conversion,medium,0.48,3.05
INF114,28737,4.3,lifestyle,food,conversion,high,0.35,5.19
INF016,10891,5.69,tech,tech,awareness,high,0.93,7.44
INF102,11247,2.17,beauty,fitness,conversion,low,0.41,2.79
INF105,58861,3.02,beauty,beauty,conversion,medium,0.82,4.66
INF144,5848,5.77,beauty,food,awareness,medium,0.44,6.77
INF082,70019,2.87,fitness,tech,awareness,high,0.55,4.1
INF134,80101,3.87,lifestyle,tech,conversion,high,0.27,4.35
INF136,88288,2.66,lifestyle,fitness,conversion,low,0.54,3.66
INF080,96927,2.03,beauty,beauty,conversion,medium,0.73,3.61
INF022,56570,5.19,food,food,awareness,low,0.77,6.68
INF047,78279,5.3,fitness,beauty,conversion,medium,0.26,5.97
INF120,83634,4.72,lifestyle,food,awareness,medium,0.55,5.98
INF124,65193,2.33,lifestyle,tech,conversion,medium,0.42,3.25
INF142,78673,3.54,beauty,fitness,conversion,low,0.25,3.93
INF003,90676,3.93,beauty,tech,conversion,medium,0.49,4.96
INF056,96095,5.48,tech,tech,awareness,high,0.99,7.57
INF043,11045,2.47,beauty,tech,conversion,medium,0.55,3.73
INF132,6076,5.93,fitness,food,awareness,high,0.51,6.84
INF062,73077,3.04,lifestyle,tech,conversion,medium,0.43,3.78
INF125,65300,5.38,beauty,lifestyle,awareness,medium,0.27,6.11
INF016,10891,5.69,tech,lifestyle,conversion,medium,0.57,6.8
INF123,12102,2.9,fitness,food,awareness,high,0.45,3.64
INF009,71973,5.84,beauty,fitness,conversion,low,0.5,6.92
INF058,55040,2.82,beauty,tech,conversion,medium,0.45,3.76
INF150,8597,4.78,tech,beauty,conversion,medium,0.28,5.45
INF076,28342,2.03,lifestyle,lifestyle,conversion,medium,0.84,3.76
INF027,77217,3.11,tech,food,awareness,high,0.31,3.85
INF123,12102,2.9,fitness,food,awareness,medium,0.22,3.19
INF140,25493,2.62,tech,lifestyle,conversion,high,0.32,3.14
INF036,41791,2.78,beauty,food,awareness,low,0.4,3.6
INF022,56570,5.19,food,beauty,conversion,medium,0.55,6.26
INF074,30473,3.38,fitness,beauty,conversion,medium,0.55,4.46
INF062,73077,3.04,lifestyle,lifestyle,conversion,medium,0.88,4.73
INF097,37336,5.4,lifestyle,tech,conversion,medium,0.21,5.81
INF046,53497,3.14,beauty,fitness,conversion,low,0.44,4.18
INF148,67609,4.85,food,fitness,awareness,medium,0.21,5.27
INF057,57154,3.3,beauty,lifestyle,conversion,medium,0.53,4.48
INF127,50271,2.93,fitness,lifestyle,conversion,medium,0.23,3.45
INF084,19924,5.83,tech,tech,conversion,low,0.76,7.35
INF064,96171,3.98,lifestyle,tech,awareness,high,0.44,4.94
INF127,50271,2.93,fitness,beauty,awareness,low,0.51,3.91
INF020,65854,4.61,lifestyle,fitness,awareness,medium,0.36,5.33
INF067,58707,2.01,food,tech,conversion,high,0.24,2.36
INF054,69560,4.67,beauty,tech,conversion,high,0.31,5.14
INF096,52489,6.0,fitness,tech,conversion,low,0.45,6.98
INF064,96171,3.98,lifestyle,food,awareness,high,0.24,4.47
INF029,58084,5.46,tech,lifestyle,conversion,high,0.57,6.74
INF139,49602,4.49,beauty,lifestyle,awareness,medium,0.56,5.63
INF062,73077,3.04,lifestyle,fitness,conversion,high,0.28,3.59
INF077,94691,3.91,lifestyle,lifestyle,conversion,high,0.89,5.87
INF101,86914,3.71,food,beauty,conversion,medium,0.21,4.3
INF074,30473,3.38,fitness,fitness,awareness,low,0.97,5.31
INF036,41791,2.78,beauty,food,awareness,high,0.25,3.22
INF082,70019,2.87,fitness,tech,awareness,high,0.23,3.53
INF086,77940,4.51,fitness,lifestyle,conversion,high,0.23,4.99
INF107,50639,3.19,fitness,food,conversion,high,0.58,4.29
INF128,93091,4.58,lifestyle,food,awareness,high,0.37,5.18
INF144,5848,5.77,beauty,tech,conversion,medium,0.33,6.27
INF107,50639,3.19,fitness,beauty,conversion,medium,0.57,4.26
INF024,96092,4.15,lifestyle,beauty,awareness,low,0.23,4.42
INF089,40355,5.61,food,beauty,conversion,medium,0.53,6.79
INF115,19671,2.74,beauty,beauty,awareness,low,0.88,4.51
INF132,6076,5.93,fitness,food,conversion,high,0.28,6.49
INF075,37069,3.45,tech,beauty,conversion,medium,0.56,4.39
INF077,94691,3.91,lifestyle,lifestyle,conversion,medium,0.93,5.65
INF066,37616,3.33,lifestyle,fitness,conversion,low,0.38,4.0
INF018,34039,5.65,fitness,tech,conversion,medium,0.37,6.55
INF108,47171,3.39,food,tech,conversion,high,0.27,3.83
INF062,73077,3.04,lifestyle,food,awareness,medium,0.42,3.85
INF040,85116,4.52,food,fitness,conversion,high,0.33,5.25
INF099,40153,3.95,food,lifestyle,conversion,medium,0.23,4.25
INF028,66060,3.39,fitness,lifestyle,conversion,high,0.53,4.49
INF038,37573,3.76,fitness,beauty,conversion,medium,0.47,4.81
INF080,96927,2.03,beauty,food,awareness,low,0.59,3.23
INF103,45269,4.67,food,lifestyle,awareness,medium,0.43,5.36
INF085,93375,5.31,food,beauty,conversion,medium,0.29,5.93
INF124,65193,2.33,lifestyle,lifestyle,conversion,medium,0.74,3.95
INF139,49602,4.49,beauty,food,awareness,medium,0.33,5.03
INF049,9866,3.96,lifestyle,food,awareness,high,0.41,4.85
INF061,50999,2.71,fitness,lifestyle,conversion,high,0.49,3.77
INF031,97098,4.86,food,tech,conversion,low,0.24,5.22
INF131,33067,4.72,beauty,beauty,conversion,medium,0.82,6.37
INF058,55040,2.82,beauty,tech,awareness,high,0.33,3.68
INF010,26556,3.44,lifestyle,tech,conversion,medium,0.55,4.68
INF110,85930,3.05,food,lifestyle,conversion,medium,0.22,3.38
INF092,99255,5.58,beauty,fitness,conversion,low,0.5,6.73
INF048,60638,3.92,beauty,beauty,awareness,low,0.87,5.55
INF025,13363,3.68,tech,tech,conversion,medium,0.86,5.42
INF125,65300,5.38,beauty,tech,awareness,high,0.56,6.67
INF077,94691,3.91,lifestyle,lifestyle,conversion,medium,0.75,5.37
INF110,85930,3.05,food,beauty,conversion,medium,0.22,3.5
INF087,95113,2.42,food,food,awareness,low,0.93,4.31
INF112,70180,3.22,tech,tech,conversion,medium,0.85,4.96
INF098,11305,2.32,tech,lifestyle,conversion,high,0.5,3.47
INF013,99547,5.3,food,beauty,awareness,low,0.29,6.0
INF088,71457,5.47,food,tech,awareness,high,0.36,6.12
INF013,99547,5.3,food,fitness,awareness,low,0.57,6.36
INF071,62513,5.11,lifestyle,food,awareness,low,0.48,6.26
INF117,61665,4.89,lifestyle,tech,conversion,low,0.41,5.58
INF099,40153,3.95,food,fitness,conversion,high,0.27,4.45
INF004,9028,2.36,lifestyle,fitness,awareness,medium,0.47,3.14
INF019,59858,4.3,food,food,conversion,high,0.76,5.9
INF043,11045,2.47,beauty,lifestyle,awareness,medium,0.5,3.28
INF016,10891,5.69,tech,tech,conversion,high,0.75,6.99
INF033,14510,2.26,lifestyle,fitness,conversion,high,0.32,2.71
INF072,12014,5.72,fitness,beauty,conversion,medium,0.56,6.87
INF077,94691,3.91,lifestyle,tech,conversion,low,0.51,4.98
INF025,13363,3.68,tech,food,awareness,low,0.2,3.99
INF133,58573,5.24,fitness,lifestyle,conversion,medium,0.27,5.87
INF134,80101,3.87,lifestyle,beauty,conversion,medium,0.35,4.74
INF016,10891,5.69,tech,lifestyle,awareness,medium,0.5,6.82
INF051,71243,2.68,food,tech,conversion,medium,0.52,3.55
INF016,10891,5.69,tech,lifestyle,conversion,high,0.35,6.53
INF114,28737,4.3,lifestyle,fitness,awareness,medium,0.51,5.24
INF084,19924,5.83,tech,food,awareness,medium,0.57,7.15
INF039,48355,2.88,beauty,fitness,conversion,low,0.54,3.84
INF067,58707,2.01,food,lifestyle,awareness,medium,0.47,2.79
INF127,50271,2.93,fitness,food,awareness,high,0.48,3.75
INF116,96165,3.98,beauty,lifestyle,awareness,medium,0.54,5.26
INF098,11305,2.32,tech,tech,conversion,low,0.91,4.19
INF030,64583,3.41,beauty,beauty,awareness,medium,0.82,4.94
INF120,83634,4.72,lifestyle,beauty,awareness,low,0.45,5.74
INF089,40355,5.61,food,lifestyle,awareness,medium,0.55,6.88
INF048,60638,3.92,beauty,food,conversion,high,0.41,4.87
INF037,8769,4.23,food,lifestyle,conversion,medium,0.49,5.26
INF016,10891,5.69,tech,lifestyle,conversion,medium,0.55,6.91
INF043,11045,2.47,beauty,lifestyle,conversion,high,0.59,3.8
INF105,58861,3.02,beauty,fitness,awareness,medium,0.5,3.98
INF147,88620,4.69,tech,lifestyle,conversion,medium,0.39,5.33
INF105,58861,3.02,beauty,beauty,conversion,medium,0.71,4.38
INF023,72867,2.03,food,lifestyle,conversion,high,0.3,2.46
INF063,11953,4.17,lifestyle,lifestyle,conversion,high,0.88,6.0
INF009,71973,5.84,beauty,tech,conversion,medium,0.37,6.61
INF009,71973,5.84,beauty,lifestyle,conversion,medium,0.24,6.18
INF016,10891,5.69,tech,lifestyle,conversion,medium,0.52,6.54
INF023,72867,2.03,food,lifestyle,conversion,medium,0.3,2.79
INF104,51803,5.59,fitness,beauty,conversion,medium,0.29,6.1
INF136,88288,2.66,lifestyle,beauty,conversion,medium,0.52,3.6
INF096,52489,6.0,fitness,fitness,awareness,medium,0.74,7.39
INF034,86076,2.49,tech,tech,awareness,high,0.95,4.55
INF119,97348,4.73,food,food,awareness,low,0.92,6.69
INF122,16241,4.58,food,lifestyle,conversion,medium,0.24,5.0
INF025,13363,3.68,tech,lifestyle,conversion,medium,0.26,4.03
INF018,34039,5.65,fitness,beauty,conversion,medium,0.35,6.28
INF097,37336,5.4,lifestyle,beauty,awareness,medium,0.39,6.01
INF061,50999,2.71,fitness,fitness,conversion,low,0.8,4.45
INF129,7037,3.68,beauty,beauty,awareness,low,0.77,5.31
INF089,40355,5.61,food,tech,conversion,medium,0.22,6.16
INF124,65193,2.33,lifestyle,lifestyle,conversion,medium,0.92,4.0
INF063,11953,4.17,lifestyle,tech,conversion,medium,0.54,5.19
INF024,96092,4.15,lifestyle,beauty,conversion,medium,0.22,4.51
INF050,77184,4.59,lifestyle,tech,conversion,low,0.5,5.58
INF109,62417,2.61,beauty,tech,conversion,medium,0.49,3.4
INF021,63182,3.59,lifestyle,lifestyle,conversion,medium,0.92,5.46
INF101,86914,3.71,food,beauty,awareness,medium,0.48,4.85
INF025,13363,3.68,tech,beauty,awareness,medium,0.24,4.3
INF068,38651,2.32,food,tech,awareness,high,0.44,3.36
INF066,37616,3.33,lifestyle,lifestyle,conversion,medium,0.96,5.44
INF018,34039,5.65,fitness,beauty,conversion,medium,0.41,6.62
INF039,48355,2.88,beauty,tech,conversion,low,0.42,3.6
INF089,40355,5.61,food,food,conversion,high,0.75,7.13
INF077,94691,3.91,lifestyle,fitness,conversion,high,0.3,4.47
INF007,7591,5.87,tech,food,conversion,high,0.25,6.5
INF049,9866,3.96,lifestyle,lifestyle,conversion,medium,0.84,5.7
INF118,85748,4.46,lifestyle,fitness,conversion,high,0.49,5.52
INF106,5497,4.56,fitness,beauty,awareness,low,0.29,5.23
INF134,80101,3.87,lifestyle,fitness,awareness,low,0.33,4.7
INF113,63476,4.5,lifestyle,lifestyle,awareness,medium,0.92,6.26
INF106,5497,4.56,fitness,tech,conversion,low,0.33,5.04
INF004,9028,2.36,lifestyle,beauty,conversion,medium,0.5,3.27
INF024,96092,4.15,lifestyle,beauty,awareness,low,0.6,5.44
INF082,70019,2.87,fitness,fitness,conversion,high,0.8,4.34
INF053,24314,3.46,tech,beauty,awareness,medium,0.58,4.71
INF050,77184,4.59,lifestyle,beauty,awareness,low,0.51,5.42
INF103,45269,4.67,food,tech,conversion,medium,0.43,5.71
INF095,72520,4.35,lifestyle,fitness,conversion,low,0.37,5.05
INF074,30473,3.38,fitness,beauty,awareness,low,0.41,4.18
INF042,47325,2.56,food,tech,conversion,high,0.42,3.41
INF126,88232,4.02,lifestyle,beauty,awareness,low,0.37,4.69
INF112,70180,3.22,tech,fitness,conversion,low,0.23,3.87
INF108,47171,3.39,food,fitness,awareness,medium,0.46,4.13
INF111,69747,2.33,beauty,tech,conversion,high,0.3,2.88
INF119,97348,4.73,food,tech,conversion,low,0.41,5.68
INF101,86914,3.71,food,tech,conversion,high,0.37,4.64
INF146,5343,4.89,food,food,awareness,low,0.8,6.39
INF049,9866,3.96,lifestyle,tech,conversion,low,0.46,4.75
INF149,45735,5.84,food,beauty,awareness,medium,0.45,6.7
INF014,98901,4.03,food,lifestyle,conversion,medium,0.58,5.33
INF041,65778,5.42,beauty,food,awareness,medium,0.42,6.43
INF074,30473,3.38,fitness,food,awareness,low,0.4,4.02
INF103,45269,4.67,food,food,conversion,high,0.83,6.13
INF102,11247,2.17,beauty,lifestyle,conversion,high,0.36,2.89
INF143,72134,2.65,tech,beauty,conversion,medium,0.22,3.05
INF114,28737,4.3,lifestyle,food,awareness,low,0.31,4.83
INF120,83634,4.72,lifestyle,tech,conversion,low,0.21,5.08
INF133,58573,5.24,fitness,fitness,awareness,medium,0.93,6.92
INF092,99255,5.58,beauty,tech,conversion,low,0.4,6.32
INF138,46720,2.16,tech,fitness,awareness,low,0.43,3.14
INF089,40355,5.61,food,beauty,awareness,low,0.55,6.86
INF090,28867,3.43,fitness,beauty,conversion,medium,0.58,4.46
INF002,70771,3.86,food,tech,conversion,medium,0.47,4.99
INF094,98951,2.53,food,beauty,conversion,medium,0.26,3.07
INF008,96463,3.13,food,lifestyle,conversion,medium,0.3,3.75
INF081,64891,2.76,lifestyle,tech,conversion,medium,0.35,3.4
INF067,58707,2.01,food,beauty,conversion,medium,0.23,2.36
INF022,56570,5.19,food,beauty,conversion,medium,0.4,5.8
INF118,85748,4.46,lifestyle,beauty,awareness,low,0.35,5.27
INF072,12014,5.72,fitness,food,awareness,medium,0.51,6.72
INF054,69560,4.67,beauty,food,awareness,medium,0.43,5.38
INF072,12014,5.72,fitness,beauty,conversion,medium,0.49,6.9
INF081,64891,2.76,lifestyle,beauty,conversion,medium,0.32,3.54
INF001,92378,5.56,food,food,awareness,low,0.89,7.3
INF079,26478,4.03,lifestyle,fitness,conversion,low,0.47,5.0
INF112,70180,3.22,tech,fitness,conversion,low,0.59,4.44
INF113,63476,4.5,lifestyle,food,awareness,high,0.29,5.05
INF114,28737,4.3,lifestyle,lifestyle,conversion,high,0.72,5.79
INF030,64583,3.41,beauty,food,awareness,low,0.46,4.41
INF062,73077,3.04,lifestyle,food,conversion,high,0.48,3.94
INF092,99255,5.58,beauty,beauty,conversion,medium,0.88,7.25
INF058,55040,2.82,beauty,tech,conversion,medium,0.36,3.68
INF078,22635,2.38,food,food,awareness,high,0.87,3.97
INF038,37573,3.76,fitness,lifestyle,awareness,medium,0.32,4.37
INF037,8769,4.23,food,tech,conversion,medium,0.54,5.35
INF003,90676,3.93,beauty,food,awareness,medium,0.28,4.51
INF092,99255,5.58,beauty,lifestyle,conversion,medium,0.53,6.75
INF030,64583,3.41,beauty,fitness,awareness,medium,0.6,4.5
INF042,47325,2.56,food,food,conversion,high,0.72,3.99
INF001,92378,5.56,food,fitness,awareness,low,0.24,6.19
INF013,99547,5.3,food,fitness,awareness,medium,0.4,6.08
INF119,97348,4.73,food,lifestyle,conversion,medium,0.25,5.19
INF016,10891,5.69,tech,food,awareness,high,0.42,6.48
INF044,12084,3.57,lifestyle,tech,conversion,medium,0.47,4.44
INF117,61665,4.89,lifestyle,beauty,conversion,medium,0.57,5.87
INF066,37616,3.33,lifestyle,lifestyle,conversion,medium,0.79,5.04
INF067,58707,2.01,food,fitness,awareness,low,0.32,2.49
INF047,78279,5.3,fitness,tech,conversion,low,0.31,5.94
INF065,48133,5.97,food,tech,conversion,high,0.22,6.36
INF084,19924,5.83,tech,lifestyle,awareness,medium,0.45,6.89
INF074,30473,3.38,fitness,lifestyle,conversion,medium,0.21,3.88
INF150,8597,4.78,tech,tech,conversion,medium,0.96,6.6
INF001,92378,5.56,food,tech,conversion,low,0.39,6.31
INF019,59858,4.3,food,food,awareness,medium,0.94,6.15
INF028,66060,3.39,fitness,fitness,awareness,low,0.85,5.28
INF001,92378,5.56,food,fitness,conversion,low,0.47,6.52
INF080,96927,2.03,beauty,food,awareness,high,0.57,3.05
INF012,52873,3.31,beauty,tech,conversion,low,0.33,4.16
INF104,51803,5.59,fitness,beauty,awareness,low,0.49,6.6
INF020,65854,4.61,lifestyle,lifestyle,conversion,medium,0.71,5.84
INF037,8769,4.23,food,beauty,conversion,medium,0.38,5.08
INF112,70180,3.22,tech,lifestyle,conversion,medium,0.52,4.37
INF038,37573,3.76,fitness,tech,awareness,high,0.34,4.47
INF006,84224,4.3,fitness,tech,conversion,high,0.31,4.87
INF112,70180,3.22,tech,fitness,conversion,low,0.45,4.3
INF135,63512,5.63,lifestyle,fitness,conversion,low,0.3,6.42
INF149,45735,5.84,food,fitness,conversion,high,0.31,6.51
INF117,61665,4.89,lifestyle,beauty,conversion,medium,0.49,6.02
INF134,80101,3.87,lifestyle,food,awareness,medium,0.36,4.64
INF105,58861,3.02,beauty,fitness,conversion,low,0.41,3.73
INF022,56570,5.19,food,tech,conversion,low,0.55,6.12
INF037,8769,4.23,food,beauty,conversion,medium,0.38,4.96
INF043,11045,2.47,beauty,beauty,conversion,medium,0.74,3.77
INF122,16241,4.58,food,fitness,conversion,low,0.47,5.62
INF033,14510,2.26,lifestyle,tech,conversion,medium,0.26,2.68
INF118,85748,4.46,lifestyle,fitness,conversion,low,0.59,5.79
INF094,98951,2.53,food,beauty,conversion,medium,0.57,3.49
INF121,61160,5.79,lifestyle,tech,conversion,medium,0.3,6.29
INF074,30473,3.38,fitness,food,awareness,medium,0.53,4.37
INF078,22635,2.38,food,food,awareness,high,0.78,3.99
INF141,27267,5.69,food,tech,conversion,high,0.24,6.21
INF052,16056,3.14,fitness,food,conversion,high,0.6,4.24
INF017,86506,2.72,fitness,lifestyle,conversion,high,0.27,3.2
INF128,93091,4.58,lifestyle,food,awareness,low,0.6,5.7
INF017,86506,2.72,fitness,lifestyle,conversion,medium,0.27,3.43
INF068,38651,2.32,food,tech,conversion,low,0.26,2.67
INF118,85748,4.46,lifestyle,lifestyle,conversion,medium,0.88,6.12
INF103,45269,4.67,food,food,awareness,medium,0.71,6.21
INF001,92378,5.56,food,beauty,conversion,medium,0.52,6.62
INF001,92378,5.56,food,tech,conversion,high,0.44,6.42
INF046,53497,3.14,beauty,tech,conversion,low,0.4,4.05
INF107,50639,3.19,fitness,food,awareness,low,0.57,4.33
INF020,65854,4.61,lifestyle,lifestyle,conversion,medium,0.8,6.13
INF059,40277,2.36,tech,tech,conversion,medium,0.75,3.83
INF048,60638,3.92,beauty,lifestyle,conversion,medium,0.29,4.44
INF039,48355,2.88,beauty,beauty,awareness,low,0.84,4.49
INF143,72134,2.65,tech,tech,conversion,medium,0.95,4.47
INF035,59872,3.41,tech,fitness,conversion,low,0.45,4.3
INF046,53497,3.14,beauty,lifestyle,awareness,medium,0.29,3.87
INF088,71457,5.47,food,fitness,conversion,low,0.21,5.77
INF093,35585,5.04,lifestyle,lifestyle,awareness,medium,0.76,6.64
INF096,52489,6.0,fitness,lifestyle,conversion,medium,0.41,6.76
INF110,85930,3.05,food,lifestyle,conversion,medium,0.36,3.68
INF006,84224,4.3,fitness,tech,awareness,high,0.21,4.89
INF075,37069,3.45,tech,tech,conversion,medium,0.76,5.02
INF060,82296,3.18,food,beauty,conversion,medium,0.34,4.05
INF013,99547,5.3,food,beauty,conversion,medium,0.54,6.29
INF125,65300,5.38,beauty,food,awareness,medium,0.27,5.83
INF149,45735,5.84,food,lifestyle,conversion,medium,0.36,6.74
INF142,78673,3.54,beauty,tech,conversion,high,0.44,4.24
INF106,5497,4.56,fitness,tech,conversion,medium,0.58,5.7
INF137,22701,4.68,lifestyle,tech,awareness,high,0.25,5.25
INF071,62513,5.11,lifestyle,food,awareness,low,0.46,5.99
INF053,24314,3.46,tech,beauty,conversion,medium,0.58,4.66
INF044,12084,3.57,lifestyle,lifestyle,conversion,medium,0.76,5.05
INF121,61160,5.79,lifestyle,tech,conversion,medium,0.54,6.99
INF132,6076,5.93,fitness,tech,conversion,medium,0.25,6.57
INF042,47325,2.56,food,tech,conversion,medium,0.46,3.43
INF133,58573,5.24,fitness,lifestyle,conversion,medium,0.24,5.56
INF114,28737,4.3,lifestyle,beauty,awareness,medium,0.59,5.66
INF107,50639,3.19,fitness,beauty,conversion,medium,0.31,3.84
INF066,37616,3.33,lifestyle,lifestyle,conversion,medium,0.93,5.29
INF071,62513,5.11,lifestyle,lifestyle,conversion,medium,0.98,7.11
INF084,19924,5.83,tech,lifestyle,awareness,medium,0.49,6.84
INF039,48355,2.88,beauty,tech,conversion,high,0.39,3.63
INF150,8597,4.78,tech,tech,conversion,high,0.84,6.29
INF009,71973,5.84,beauty,beauty,conversion,medium,0.97,7.93
INF077,94691,3.91,lifestyle,food,awareness,high,0.38,4.68
INF137,22701,4.68,lifestyle,fitness,awareness,low,0.34,5.27
INF036,41791,2.78,beauty,food,awareness,high,0.27,3.24
INF120,83634,4.72,lifestyle,beauty,conversion,medium,0.33,5.4
INF033,14510,2.26,lifestyle,lifestyle,conversion,medium,0.82,3.87
INF016,10891,5.69,tech,tech,conversion,medium,0.78,7.19
INF046,53497,3.14,beauty,lifestyle,awareness,medium,0.44,3.97
INF004,9028,2.36,lifestyle,food,awareness,high,0.36,3.26
INF087,95113,2.42,food,tech,conversion,medium,0.5,3.35
INF124,65193,2.33,lifestyle,tech,conversion,medium,0.6,3.4
INF033,14510,2.26,lifestyle,food,awareness,low,0.46,3.03
INF002,70771,3.86,food,tech,conversion,high,0.52,4.9
INF101,86914,3.71,food,food,awareness,medium,0.9,5.7
INF036,41791,2.78,beauty,fitness,conversion,low,0.52,3.76
INF045,63867,4.64,beauty,tech,conversion,medium,0.54,5.86
INF133,58573,5.24,fitness,tech,conversion,high,0.49,6.04
INF021,63182,3.59,lifestyle,tech,conversion,high,0.54,4.53
INF072,12014,5.72,fitness,lifestyle,conversion,medium,0.38,6.49
INF047,78279,5.3,fitness,tech,conversion,high,0.34,6.03
INF093,35585,5.04,lifestyle,beauty,conversion,medium,0.58,6.23
INF107,50639,3.19,fitness,lifestyle,awareness,medium,0.43,4.07
